"País","Puntuación","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","Continente"
"Guatemala","5.60","7.92","5.36","3.89","4.38","6.47","América"
"Guinea","3.14","3.50","0.43","4.44","4.38","2.94","África"
"Guinea Ecuatorial","1.92","0.00","0.43","3.33","4.38","1.47","África"
"Guinea-Bisau","1.98","1.67","0.00","2.78","3.13","2.35","África"
"Guyana","6.67","9.17","5.71","6.11","5.00","7.35","América"
"Haiti","4.91","5.58","2.93","3.89","6.25","5.88","América"
"Honduras","5.63","8.50","4.64","4.44","4.38","6.18","América"
"Hungria","6.63","8.75","6.07","5.00","6.25","7.06","Europa"
"India","6.90","9.17","6.79","7.22","5.63","7.35","Asia"
"Indonesia","6.50","7.95","7.15","6.70","5.65","5.60","Asia"
"Irak","4.06","4.75","0.07","6.67","5.00","3.82","Asia"
"Iran","2.45","0.00","3.21","4.44","3.13","1.47","Asia"
"Irlanda","9.23","9.58","7.86","8.33","10.00","10.00","Europa"
"Islandia","9.58","10.00","9.29","8.89","10.00","9.71","Europa"
"Israel","7.79","9.17","7.50","8.89","7.50","5.88","Asia"
"Italia","7.71","9.58","6.07","7.78","6.88","8.24","Europa"
"Jamaica","7.02","8.75","7.14","4.44","6.25","8.53","América"
"Japon","7.99","8.75","8.21","6.67","7.50","8.82","Asia"
"Jordania","3.93","3.58","4.29","3.89","4.38","3.53","Asia"
"Kazajistan","2.94","0.50","2.14","4.44","4.38","3.24","Asia-Europa"
"Kenia","5.11","3.50","5.36","6.67","5.63","4.41","África"
"Kirguistan","5.11","6.58","2.93","6.67","4.38","5.00","Asia"
"Kuwait","3.85","3.17","4.29","3.89","4.38","3.53","Asia"
"Laos","2.14","0.83","2.86","1.67","5.00","1.47","Asia"
"Lesoto","6.64","9.17","5.00","6.67","5.63","6.76","África"
"Letonia","7.38","9.58","6.07","5.56","6.88","8.82","Europa"
"Libano","4.63","3.92","2.21","6.67","5.63","4.71","Asia"
"Liberia","5.35","7.42","2.57","5.56","5.63","5.59","África"
"Libia","2.19","1.00","0.36","1.67","5.00","2.94","África"
"Lituania","7.50","9.58","6.43","6.11","6.25","9.12","Europa"
"Luxemburgo","8.81","10.00","8.93","6.67","8.75","9.71","Europa"
"Macedonia del Norte","5.87","6.50","5.36","6.67","3.75","7.06","Europa"
"Madagascar","5.22","6.08","3.57","6.11","5.63","4.71","África"
"Malasia","6.88","7.75","7.86","6.67","6.25","5.88","Asia"
"Malaui","5.49","6.58","4.29","4.44","6.25","5.88","África"
"Malta","8.21","9.17","8.21","6.11","8.75","8.82","Europa"
"Marruecos","4.99","5.25","4.64","5.00","5.63","4.41","África"
"Mauricio","8.22","9.17","8.21","5.56","8.75","9.41","África"
"Mauritania","3.82","3.00","3.57","5.00","3.13","4.41","África"
"Mexico","6.19","8.33","6.07","7.22","3.13","6.18","América"
"Moldavia","5.85","7.08","4.64","6.11","4.38","7.06","Europa"
"Mongolia","6.50","9.17","5.71","5.56","5.00","7.06","Asia"
"Montenegro","5.74","6.08","5.36","6.11","4.38","6.76","Europa"
"Mozambique","3.85","3.58","2.14","5.00","5.00","3.53","África"
"Namibia","6.25","5.67","5.36","6.67","5.63","7.94","África"
"Nepal","5.18","4.33","5.36","5.00","5.63","5.59","Asia"
"Nicaragua","3.63","2.67","1.86","3.89","5.63","4.12","América"
"Niger","3.76","5.25","1.14","3.33","4.38","4.71","África"
"Nigeria","4.44","6.08","4.64","3.33","3.75","4.41","África"
"Noruega","9.87","10.00","9.64","10.00","10.00","9.71","Europa"
"Oman","3.04","0.00","3.93","2.78","4.38","4.12","Asia"
"Paises Bajos","8.89","9.58","9.29","8.33","8.13","9.12","Europa"
"Pakistan","4.25","6.08","5.36","2.22","2.50","4.71","Asia"
"Palestina","4.39","3.83","2.14","7.78","4.38","3.82","Asia"
"Panama","7.05","9.58","6.07","6.67","5.00","7.94","América"
"Papua Nueva Guinea","6.03","6.92","6.07","3.89","5.63","7.65","Oceanía"
"Paraguay","6.24","8.75","5.71","5.00","4.38","7.35","América"
"Peru","6.60","9.17","5.00","5.56","5.63","7.65","América"
"Polonia","6.62","9.17","6.07","6.11","4.38","7.65","Europa"
"Portugal","7.84","9.58","7.50","6.11","6.88","9.12","Europa"
"Reino Unido","8.53","9.58","7.50","8.33","8.13","9.12","Europa"
"Republica Centroafricana","1.32","1.25","0.00","1.11","1.88","2.35","África"
"Republica del Congo","3.31","3.17","2.50","3.89","3.75","3.24","África"
"Republica Dominicana","6.54","9.17","5.36","6.11","5.00","7.06","América"
"Ruanda","3.35","1.67","5.00","2.78","4.38","2.94","África"
"Rusia","2.93","2.17","1.79","5.00","2.50","3.24","Europa-Asia"
"Senegal","6.15","7.50","6.07","4.44","6.25","6.47","África"
"Serbia","6.40","8.25","5.36","6.11","5.00","7.35","Europa"
"Sierra Leona","4.66","6.58","1.86","3.33","6.25","5.29","África"
"Singapur","6.38","4.33","7.86","6.11","6.25","7.35","Asia"
"Siria","1.43","0.00","0.00","2.78","4.38","0.00","Asia"
"Sri Lanka","6.19","7.83","5.71","5.00","6.25","6.18","Asia"
"Sudafrica","7.24","7.42","7.50","8.33","5.00","7.94","África"
"Sudan","2.15","0.00","1.79","2.78","5.00","1.18","África"
"Suecia","9.39","9.58","9.64","8.33","10.00","9.41","Europa"
"Suiza","9.03","9.58","9.29","7.78","9.38","9.12","Europa"
"Surinam","6.98","9.17","6.43","6.67","5.00","7.65","América"
"Tailandia","4.63","3.00","4.29","5.00","5.00","5.88","Asia"
"Tanzania","5.41","7.00","5.00","5.00","5.63","4.41","África"
"Tayikistan","1.95","0.08","0.79","1.67","6.25","0.88","Asia"
"Timor Oriental","7.19","9.08","6.79","5.56","6.88","7.65","Asia"
"Togo","3.10","3.17","0.79","3.33","5.00","3.24","África"
"Trinidad y Tobago","7.16","9.58","7.14","6.11","5.63","7.35","América"
"Tunez","6.41","6.42","5.71","7.78","6.25","5.88","África"
"Turkmenistan","1.72","0.00","0.79","2.22","5.00","0.59","Asia"
"Turquia","4.37","4.50","5.00","5.00","5.00","2.35","Asia-Europa"
"Ucrania","5.69","6.17","3.21","6.67","6.25","6.18","Europa"
"Uganda","5.20","5.25","3.57","4.44","6.88","5.88","África"
"Uruguay","8.38","10.00","8.57","6.11","7.50","9.71","América"
"Uzbekistan","2.01","0.08","1.86","2.22","5.00","0.88","Asia"
"Venezuela","3.16","1.67","1.79","4.44","4.38","3.53","América"
"Vietnam","3.08","0.00","3.21","3.89","5.63","2.65","Asia"
"Yemen","1.97","0.00","0.00","3.89","5.00","0.88","Asia"
"Yibuti","2.87","0.42","1.79","3.89","5.63","2.65","África"
"Zambia","5.61","6.17","4.64","3.89","6.88","6.47","África"
"Zimbabue","3.17","0.50","2.00","4.44","5.63","3.24","África"
